onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
17.5801604959876	60	click	0	175806	0	0	1	click/click000.wav
77.80425489362766	60	click	0	778062	1	1	1	click/click001.wav
138.07094822629435	60	click	0	1380744	2	2	1	click/click002.wav
198.3162420939477	60	click	0	1983212	3	3	1	click/click003.wav
258.51893702657435	60	click	0	2585254	4	4	1	click/click004.wav
318.657633559161	60	click	0	3186656	5	5	1	click/click005.wav
378.8389290267744	60	click	0	3788484	6	6	1	click/click006.wav
439.041623959401	60	click	0	4390526	7	7	1	click/click007.wav
499.265618359541	60	click	0	4992781	8	8	1	click/click008.wav
559.5323116922077	60	click	0	5595463	9	9	1	click/click009.wav
634.6043348916277	12	chn_aud	7	6346202	10	35	1	chn_aud/chn_aud035.wav
647.1910202244944	12	eng_aud	8	6472072	11	4	1	eng_aud/eng_aud004.wav
659.713607159821	12	acoustic	1	6597301	12	0	1	acoustic/acoustic000.wav
672.2362940926477	12	classical	2	6722531	13	2	1	classical/classical002.wav
684.7589810254743	12	news	11	6847761	14	25	1	news/news025.wav
697.281667958301	12	talk	12	6972991	15	18	1	talk/talk018.wav
709.7829554261143	12	interview	9	7098007	16	21	1	interview/interview021.wav
735.5110122246944	12	lecture	10	7355294	17	1	1	lecture/lecture001.wav
748.0549986250344	12	metal	5	7480737	18	3	1	metal/metal003.wav
760.6202844928877	12	hiphop	3	7606393	19	16	1	hiphop/hiphop016.wav
773.1643708907277	12	jazz	4	7731837	20	36	1	jazz/jazz036.wav
785.7296567585811	12	pop	6	7857493	21	20	1	pop/pop020.wav
798.2523436914078	12	classical	2	7982723	22	18	1	classical/classical018.wav
810.7963300917477	12	interview	9	8108166	23	22	1	interview/interview022.wav
828.5029874253144	12	pop	6	8285237	24	35	1	pop/pop035.wav
841.0043748906278	12	jazz	4	8410254	25	6	1	jazz/jazz006.wav
853.5483612909677	12	chn_aud	7	8535697	26	23	1	chn_aud/chn_aud023.wav
866.0710482237944	12	eng_aud	8	8660927	27	22	1	eng_aud/eng_aud022.wav
878.5723356916077	12	news	11	8785943	28	35	1	news/news035.wav
896.4923876903077	12	acoustic	1	8965148	29	27	1	acoustic/acoustic027.wav
909.0149746256344	12	metal	5	9090377	30	10	1	metal/metal010.wav
921.5590610234744	12	hiphop	3	9215821	31	10	1	hiphop/hiphop010.wav
934.1030474238144	12	talk	12	9341264	32	26	1	talk/talk026.wav
946.625734356641	12	lecture	10	9466494	33	23	1	lecture/lecture023.wav
959.1697207569812	12	news	11	9591937	34	17	1	news/news017.wav
971.6923076923076	12	classical	2	9717166	35	6	1	classical/classical006.wav
987.5430114247145	12	lecture	10	9875677	36	30	1	lecture/lecture030.wav
1000.065698357541	12	metal	5	10000907	37	17	1	metal/metal017.wav
1012.5883852903678	12	hiphop	3	10126137	38	4	1	hiphop/hiphop004.wav
1025.1110722231945	12	jazz	4	10251367	39	19	1	jazz/jazz019.wav
1037.6550586235344	12	eng_aud	8	10376810	40	14	1	eng_aud/eng_aud014.wav
1054.3377415564612	12	acoustic	1	10543641	41	23	1	acoustic/acoustic023.wav
1066.8603284917876	12	talk	12	10668870	42	33	1	talk/talk033.wav
1079.3830154246143	12	interview	9	10794100	43	37	1	interview/interview037.wav
1091.9270018249545	12	chn_aud	7	10919543	44	36	1	chn_aud/chn_aud036.wav
1104.4709882252944	12	pop	6	11044986	45	9	1	pop/pop009.wav
1116.993675158121	12	pop	6	11170216	46	27	1	pop/pop027.wav
1131.777705557361	12	jazz	4	11318060	47	22	1	jazz/jazz022.wav
1144.3003924901875	12	eng_aud	8	11443290	48	0	1	eng_aud/eng_aud000.wav
1156.8016799580012	12	talk	12	11568306	49	23	1	talk/talk023.wav
1169.3243668908278	12	classical	2	11693536	50	39	1	classical/classical039.wav
1181.8470538236545	12	acoustic	1	11818766	51	7	1	acoustic/acoustic007.wav
1194.3483412914677	12	chn_aud	7	11943782	52	25	1	chn_aud/chn_aud025.wav
1206.8710282242944	12	news	11	12069012	53	29	1	news/news029.wav
1221.3350666233343	12	hiphop	3	12213656	54	22	1	hiphop/hiphop022.wav
1233.857753556161	12	interview	9	12338886	55	20	1	interview/interview020.wav
1246.3590410239744	12	metal	5	12463902	56	15	1	metal/metal015.wav
1258.9244268893278	12	lecture	10	12589559	57	21	1	lecture/lecture021.wav
1271.4470138246545	12	classical	2	12714788	58	17	1	classical/classical017.wav
1283.9911002224944	12	news	11	12840232	59	21	1	news/news021.wav
1296.513687157821	12	interview	9	12965461	60	38	1	interview/interview038.wav
1311.2124196895077	12	lecture	10	13112452	61	5	1	lecture/lecture005.wav
1323.713707157321	12	chn_aud	7	13237468	62	28	1	chn_aud/chn_aud028.wav
1336.2363940901478	12	metal	5	13362698	63	33	1	metal/metal033.wav
1348.7803804904877	12	hiphop	3	13488141	64	5	1	hiphop/hiphop005.wav
1361.3243668908278	12	acoustic	1	13613584	65	30	1	acoustic/acoustic030.wav
1376.769680757981	12	talk	12	13768041	66	3	1	talk/talk003.wav
1389.3350666233343	12	jazz	4	13893698	67	32	1	jazz/jazz032.wav
1401.857753556161	12	pop	6	14018928	68	33	1	pop/pop033.wav
1414.3804404889877	12	eng_aud	8	14144158	69	6	1	eng_aud/eng_aud006.wav
1426.9030274243144	12	classical	2	14269387	70	16	1	classical/classical016.wav
1439.425714357141	12	chn_aud	7	14394617	71	26	1	chn_aud/chn_aud026.wav
1451.9484012899677	12	talk	12	14519847	72	31	1	talk/talk031.wav
1466.9670258243543	12	lecture	10	14670037	73	34	1	lecture/lecture034.wav
1479.5324116897075	12	news	11	14795694	74	20	1	news/news020.wav
1492.0550986225344	12	eng_aud	8	14920924	75	29	1	eng_aud/eng_aud029.wav
1504.577785555361	12	interview	9	15046154	76	8	1	interview/interview008.wav
1517.1003724906875	12	acoustic	1	15171383	77	16	1	acoustic/acoustic016.wav
1531.777705557361	12	jazz	4	15318160	78	38	1	jazz/jazz038.wav
1544.3003924901875	12	pop	6	15443390	79	23	1	pop/pop023.wav
1556.8443788905277	12	hiphop	3	15568833	80	14	1	hiphop/hiphop014.wav
1569.3670658233543	12	metal	5	15694063	81	6	1	metal/metal006.wav
1581.8684532886678	12	eng_aud	8	15819080	82	19	1	eng_aud/eng_aud019.wav
1594.3910402239944	12	pop	6	15944309	83	34	1	pop/pop034.wav
1606.913727156821	12	metal	5	16069539	84	39	1	metal/metal039.wav
1621.8044548886278	12	classical	2	16218450	85	25	1	classical/classical025.wav
1634.3270418239545	12	news	11	16343679	86	34	1	news/news034.wav
1646.8711282217944	12	acoustic	1	16469123	87	13	1	acoustic/acoustic013.wav
1659.4364140896478	12	chn_aud	7	16594779	88	27	1	chn_aud/chn_aud027.wav
1671.9591010224744	12	hiphop	3	16720009	89	35	1	hiphop/hiphop035.wav
