onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger
16.32449188770281	60	click	0	163249	0	0	1
76.5124871878203	60	click	0	765144	1	1	1
136.70258243543913	60	click	0	1367060	2	2	1
196.8825779355516	60	click	0	1968875	3	3	1
257.09257268568285	60	click	0	2570990	4	4	1
317.3145671358216	60	click	0	3173225	5	5	1
377.55266118347043	60	click	0	3775621	6	6	1
437.75465613359665	60	click	0	4377656	7	7	1
497.94665133371666	60	click	0	4979591	8	8	1
558.1746456338592	60	click	0	5581886	9	9	1
