onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger
44.64428389290268	60	click	0	446454	0	0	1
104.85827854303642	60	click	0	1048609	1	1	1
165.00427489312767	60	click	0	1650084	2	2	1
225.16827079323016	60	click	0	2251739	3	3	1
285.36026599335014	60	click	0	2853674	4	4	1
345.51226219344517	60	click	0	3455209	5	5	1
405.75625609359764	60	click	0	4057664	6	6	1
465.94025149371265	60	click	0	4659519	7	7	1
526.1643458913527	60	click	0	5261775	8	8	1
586.3603409914753	60	click	0	5863750	9	9	1
672.7262818429539	12	chn_aud	7	6727431	10	35	1
685.2443688907778	12	eng_aud	8	6852615	11	4	1
697.7643558911027	12	acoustic	1	6977818	12	0	1
710.286342841429	12	classical	2	7103041	13	2	1
722.806329841754	12	news	11	7228244	14	25	1
735.326316842079	12	talk	12	7353447	15	18	1
747.8483037924052	12	interview	9	7478670	16	21	1
765.4563635909102	12	lecture	10	7654755	17	1	1
777.9643508912277	12	metal	5	7779838	18	3	1
790.4843378915527	12	hiphop	3	7905041	19	16	1
803.0023249418765	12	jazz	4	8030224	20	36	1
815.5223119422014	12	pop	6	8155427	21	20	1
828.0402989925252	12	classical	2	8280610	22	18	1
840.5543861403465	12	interview	9	8405754	23	22	1
867.174320641984	12	pop	6	8671960	24	35	1
879.6863078423039	12	jazz	4	8797083	25	6	1
892.2083947901302	12	chn_aud	7	8922307	26	23	1
904.7203819904503	12	eng_aud	8	9047430	27	22	1
917.2343691407715	12	news	11	9172573	28	35	1
933.278368040799	12	acoustic	1	9333017	29	27	1
945.7963550911227	12	metal	5	9458200	30	10	1
958.310342241444	12	hiphop	3	9583343	31	10	1
970.8243293917652	12	talk	12	9708486	32	26	1
983.3383165420864	12	lecture	10	9833629	33	23	1
995.8524036899078	12	news	11	9958773	34	17	1
1008.3683907902303	12	classical	2	10083936	35	6	1
1024.0243993900153	12	lecture	10	10240500	36	30	1
1036.5443863903402	12	metal	5	10365703	37	17	1
1049.0663733406666	12	hiphop	3	10490926	38	4	1
1061.5843603909902	12	jazz	4	10616109	39	19	1
1074.0963475913102	12	eng_aud	8	10741232	40	14	1
1091.950401239969	12	acoustic	1	10919777	41	23	1
1104.4643883902902	12	talk	12	11044920	42	33	1
1116.982375440614	12	interview	9	11170103	43	37	1
1129.502362440939	12	chn_aud	7	11295306	44	36	1
1142.022349441264	12	pop	6	11420509	45	9	1
1154.5403364915878	12	pop	6	11545692	46	27	1
1177.390365240869	12	jazz	4	11774198	47	22	1
1189.9083522911926	12	eng_aud	8	11899381	48	0	1
1202.422339441514	12	talk	12	12024524	49	23	1
1214.934426639334	12	classical	2	12149648	50	39	1
1227.454413639659	12	acoustic	1	12274851	51	7	1
1239.966400839979	12	chn_aud	7	12399974	52	25	1
1252.4823879403016	12	news	11	12525137	53	29	1
1286.2763430914226	12	hiphop	3	12863085	54	22	1
1298.7924301892454	12	interview	9	12988249	55	20	1
1311.3124171895702	12	metal	5	13113452	56	15	1
1323.8244043898903	12	lecture	10	13238575	57	21	1
1336.3463913402165	12	classical	2	13363798	58	17	1
1348.8663783405416	12	news	11	13489001	59	21	1
1361.3843653908652	12	interview	9	13614184	60	38	1
1376.9523761905953	12	lecture	10	13769868	61	5	1
1389.4683632909178	12	chn_aud	7	13895031	62	28	1
1401.9843503912402	12	metal	5	14020194	63	33	1
1414.4964375890602	12	hiphop	3	14145318	64	5	1
1427.0124246893827	12	acoustic	1	14270481	65	30	1
1444.8503787405316	12	talk	12	14448865	66	3	1
1457.3723656908578	12	jazz	4	14574088	67	32	1
1469.8924526886829	12	pop	6	14699292	68	33	1
1482.4124396890077	12	eng_aud	8	14824495	69	6	1
1494.9304267393316	12	classical	2	14949678	70	16	1
1507.4444138896527	12	chn_aud	7	15074821	71	26	1
1519.9564010899728	12	talk	12	15199944	72	31	1
1541.894452638684	12	lecture	10	15419330	73	34	1
1554.4184395390116	12	news	11	15544573	74	20	1
1566.9364265893353	12	eng_aud	8	15669756	75	29	1
1579.4524136896578	12	interview	9	15794919	76	8	1
1591.9704007399814	12	acoustic	1	15920102	77	16	1
1616.6983825404366	12	jazz	4	16167388	78	38	1
1629.2103697407565	12	pop	6	16292511	79	23	1
1641.726456838579	12	hiphop	3	16417675	80	14	1
1654.246443838904	12	metal	5	16542878	81	6	1
1666.750431239219	12	eng_aud	8	16667921	82	19	1
1679.2584185395365	12	pop	6	16793004	83	34	1
1691.7784055398615	12	metal	5	16918207	84	39	1
1747.2964175895602	12	classical	2	17473401	85	25	1
1759.814404639884	12	news	11	17598584	86	34	1
1772.326391840204	12	acoustic	1	17723707	87	13	1
1784.838379040524	12	chn_aud	7	17848830	88	27	1
1797.3524661883453	12	hiphop	3	17973974	89	35	1
1809.8664533386666	12	talk	12	18099117	90	34	1
1849.126471838204	12	interview	9	18491727	91	28	1
1861.6444588885279	12	lecture	10	18616910	92	0	1
1874.158446038849	12	jazz	4	18742053	93	25	1
1886.670433239169	12	acoustic	1	18867176	94	3	1
1899.1864203394914	12	jazz	4	18992339	95	2	1
1911.7064073398165	12	pop	6	19117542	96	15	1
1924.2183945401364	12	classical	2	19242665	97	33	1
1943.5164120896977	12	hiphop	3	19435650	98	6	1
1956.0363990900228	12	interview	9	19560853	99	30	1
1968.5524861878453	12	talk	12	19686017	100	28	1
1981.0724731881703	12	chn_aud	7	19811220	101	39	1
1993.5884602884928	12	lecture	10	19936383	102	32	1
2006.1044473888153	12	eng_aud	8	20061546	103	31	1
2022.814429639259	12	news	11	20228650	104	3	1
2035.334416639584	12	metal	5	20353853	105	9	1
2047.8524036899078	12	pop	6	20479036	106	7	1
2060.372490687733	12	acoustic	1	20604240	107	17	1
2072.894477638059	12	lecture	10	20729463	108	8	1
2085.40846478838	12	jazz	4	20854606	109	17	1
2097.9224519387017	12	hiphop	3	20979749	110	28	1
2113.142471438214	12	classical	2	21131953	111	29	1
2125.6604584885376	12	interview	9	21257136	112	33	1
2138.180445488863	12	news	11	21382339	113	6	1
2150.7004324891877	12	talk	12	21507542	114	20	1
2163.2184195395116	12	chn_aud	7	21632725	115	12	1
2175.7304067398313	12	eng_aud	8	21757848	116	20	1
2196.076498087548	12	metal	5	21961314	117	38	1
2208.588485287868	12	acoustic	1	22086437	118	12	1
2221.1044723881905	12	jazz	4	22211600	119	24	1
2233.620459488513	12	pop	6	22336763	120	1	1
2246.142446438839	12	lecture	10	22461986	121	24	1
2258.6644333891654	12	eng_aud	8	22587209	122	26	1
2271.1844203894902	12	hiphop	3	22712412	123	29	1
2294.070448238794	12	chn_aud	7	22941278	124	31	1
2306.5844353891152	12	metal	5	23066421	125	35	1
2319.102422439439	12	interview	9	23191604	126	27	1
2331.61640958976	12	talk	12	23316747	127	21	1
2344.130496737582	12	news	11	23441891	128	13	1
2385.244468888278	12	classical	2	23853041	129	15	1
2397.758456038599	12	interview	9	23978184	130	19	1
2410.270443238919	12	lecture	10	24103307	131	27	1
2422.7864303392416	12	metal	5	24228470	132	2	1
2435.304417389565	12	hiphop	3	24353653	133	15	1
2450.7544311392217	12	chn_aud	7	24508157	134	0	1
2463.2684182895428	12	classical	2	24633300	135	14	1
2475.782505437364	12	eng_aud	8	24758444	136	11	1
2488.294492637684	12	pop	6	24883567	137	2	1
2500.806479838004	12	talk	12	25008690	138	29	1
2513.3224669383267	12	jazz	4	25133853	139	23	1
2525.844453888653	12	acoustic	1	25259076	140	39	1
2543.0884227894303	12	news	11	25431520	141	19	1
2555.598510037249	12	hiphop	3	25556624	142	32	1
2568.108497287568	12	metal	5	25681727	143	11	1
2580.616484587885	12	pop	6	25806810	144	11	1
2593.134471638209	12	chn_aud	7	25931993	145	4	1
2605.64845878853	12	acoustic	1	26057136	146	10	1
2618.1644458888527	12	interview	9	26182299	147	25	1
2633.5464613384665	12	classical	2	26336123	148	27	1
2646.062448438789	12	news	11	26461286	149	8	1
2658.5784355391115	12	eng_aud	8	26586449	150	24	1
2671.094522636934	12	lecture	10	26711613	151	26	1
2683.61650958726	12	jazz	4	26836836	152	27	1
2696.134496637584	12	talk	12	26962019	153	6	1
2712.9004774880627	12	hiphop	3	27129683	154	27	1
2725.412464688383	12	chn_aud	7	27254806	155	34	1
2737.926451838704	12	metal	5	27379949	156	4	1
2750.44843878903	12	interview	9	27505172	157	26	1
2762.9625259368518	12	news	11	27630316	158	22	1
2775.4785130371743	12	pop	6	27755479	159	14	1
2787.998500037499	12	classical	2	27880682	160	32	1
2802.6364340891478	12	lecture	10	28027065	161	29	1
2815.148521286968	12	jazz	4	28152189	162	29	1
2827.6605084872876	12	eng_aud	8	28277312	163	38	1
2840.180495487613	12	talk	12	28402515	164	17	1
2852.7004824879377	12	acoustic	1	28527718	165	22	1
2865.214469638259	12	jazz	4	28652861	166	1	1
2877.7364565885855	12	eng_aud	8	28778084	167	27	1
2895.3685157871055	12	pop	6	28954409	168	4	1
2907.8885027874303	12	interview	9	29079612	169	23	1
2920.4004899877505	12	acoustic	1	29204735	170	11	1
2932.9204769880753	12	talk	12	29329938	171	39	1
2945.4324641883954	12	chn_aud	7	29455061	172	29	1
2957.9464513387165	12	news	11	29580204	173	15	1
2977.772455688608	12	lecture	10	29778469	174	39	1
2990.286442838929	12	hiphop	3	29903612	175	26	1
3002.804529886753	12	classical	2	30028796	176	9	1
3015.326516837079	12	metal	5	30154019	177	16	1
3027.8405039874	12	jazz	4	30279162	178	26	1
3040.3604909877254	12	pop	6	30404365	179	28	1
3054.744531386715	12	metal	5	30548209	180	28	1
3067.262518437039	12	eng_aud	8	30673392	181	32	1
3079.77650558736	12	classical	2	30798535	182	35	1
3092.2904927376817	12	interview	9	30923678	183	34	1
3104.806479838004	12	acoustic	1	31048841	184	14	1
3123.5385115372114	12	hiphop	3	31236166	185	18	1
3136.054498637534	12	news	11	31361329	186	26	1
3148.566485837854	12	lecture	10	31486452	187	20	1
3161.0884727881803	12	talk	12	31611675	188	35	1
3173.608459788505	12	chn_aud	7	31736878	189	3	1
3186.1204469888253	12	chn_aud	7	31862001	190	5	1
3198.6405339866506	12	hiphop	3	31987205	191	24	1
3222.6745331366715	12	talk	12	32227551	192	30	1
3235.188520286993	12	lecture	10	32352694	193	10	1
3247.7105072373192	12	news	11	32477917	194	27	1
3260.222494437639	12	classical	2	32603040	195	19	1
3272.740481487963	12	jazz	4	32728223	196	14	1
3325.452463688408	12	eng_aud	8	33255356	197	28	1
3337.9684507887305	12	interview	9	33380519	198	7	1
3350.4885377865553	12	pop	6	33505723	199	17	1
3363.0025249368764	12	metal	5	33630866	200	30	1
3375.518512037199	12	acoustic	1	33756029	201	33	1
3388.030499237519	12	eng_aud	8	33881152	202	30	1
