onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
6.301542461438464	60	click	0	63017	0	0	1	click/click000.wav
66.53753656158597	60	click	0	665392	1	1	1	click/click001.wav
126.729631759206	60	click	0	1267328	2	2	1	click/click002.wav
186.91162720931976	60	click	0	1869163	3	3	1	click/click003.wav
247.0677233069173	60	click	0	2470739	4	4	1	click/click004.wav
307.27171820704484	60	click	0	3072794	5	5	1	click/click005.wav
367.4557136071598	60	click	0	3674649	6	6	1	click/click006.wav
427.64180895477614	60	click	0	4276525	7	7	1	click/click007.wav
487.8818029549261	60	click	0	4878940	8	8	1	click/click008.wav
548.0857978550537	60	click	0	5480995	9	9	1	click/click009.wav
619.6598085047874	12	chn_aud	7	6196753	10	35	1	chn_aud/chn_aud035.wav
632.1718957026075	12	eng_aud	8	6321877	11	4	1	eng_aud/eng_aud004.wav
644.6858828529287	12	acoustic	1	6447020	12	0	1	acoustic/acoustic000.wav
657.1998700032499	12	classical	2	6572163	13	2	1	classical/classical002.wav
669.7138571535712	12	news	11	6697306	14	25	1	news/news025.wav
682.2358441038974	12	talk	12	6822529	15	18	1	talk/talk018.wav
694.7558311042224	12	interview	9	6947732	16	21	1	interview/interview021.wav
717.8658533536661	12	lecture	10	7178838	17	1	1	lecture/lecture001.wav
730.3879403014924	12	metal	5	7304062	18	3	1	metal/metal003.wav
742.9079273018175	12	hiphop	3	7429265	19	16	1	hiphop/hiphop016.wav
755.4299142521437	12	jazz	4	7554488	20	36	1	jazz/jazz036.wav
767.9499012524686	12	pop	6	7679691	21	20	1	pop/pop020.wav
780.471888202795	12	classical	2	7804914	22	18	1	classical/classical018.wav
792.9918752031199	12	interview	9	7930117	23	22	1	interview/interview022.wav
809.6439589010274	12	pop	6	8096642	24	35	1	pop/pop035.wav
822.1639459013525	12	jazz	4	8221845	25	6	1	jazz/jazz006.wav
834.6859328516787	12	chn_aud	7	8347068	26	23	1	chn_aud/chn_aud023.wav
847.207919802005	12	eng_aud	8	8472291	27	22	1	eng_aud/eng_aud022.wav
859.7259068523286	12	news	11	8597474	28	35	1	news/news035.wav
877.5539611509712	12	acoustic	1	8775759	29	27	1	acoustic/acoustic027.wav
890.0659483512912	12	metal	5	8900882	30	10	1	metal/metal010.wav
902.5879353016174	12	hiphop	3	9026105	31	10	1	hiphop/hiphop010.wav
915.1079223019424	12	talk	12	9151308	32	26	1	talk/talk026.wav
927.6300092497688	12	lecture	10	9276532	33	23	1	lecture/lecture023.wav
940.1419964500888	12	news	11	9401655	34	17	1	news/news017.wav
952.6599835004124	12	classical	2	9526838	35	6	1	classical/classical006.wav
969.7639559011023	12	lecture	10	9697882	36	30	1	lecture/lecture030.wav
982.2839429014276	12	metal	5	9823085	37	17	1	metal/metal017.wav
994.7960300992476	12	hiphop	3	9948209	38	4	1	hiphop/hiphop004.wav
1007.3100172495688	12	jazz	4	10073352	39	19	1	jazz/jazz019.wav
1019.8280042998924	12	eng_aud	8	10198535	40	14	1	eng_aud/eng_aud014.wav
1038.73603159921	12	acoustic	1	10387620	41	23	1	acoustic/acoustic023.wav
1051.2580185495362	12	talk	12	10512843	42	33	1	talk/talk033.wav
1063.7700057498562	12	interview	9	10637966	43	37	1	interview/interview037.wav
1076.285992850179	12	chn_aud	7	10763129	44	36	1	chn_aud/chn_aud036.wav
1088.7879803004926	12	pop	6	10888152	45	9	1	pop/pop009.wav
1101.2939676508088	12	pop	6	11013215	46	27	1	pop/pop027.wav
1196.6100847478813	12	jazz	4	11966400	47	22	1	jazz/jazz022.wav
1209.1220719482012	12	eng_aud	8	12091523	48	0	1	eng_aud/eng_aud000.wav
1221.6340591485214	12	talk	12	12216646	49	23	1	talk/talk023.wav
1234.1480462988425	12	classical	2	12341789	50	39	1	classical/classical039.wav
1246.670033249169	12	acoustic	1	12467012	51	7	1	acoustic/acoustic007.wav
1259.1860203494912	12	chn_aud	7	12592175	52	25	1	chn_aud/chn_aud025.wav
1271.7081072973176	12	news	11	12717399	53	29	1	news/news029.wav
1290.008049798755	12	hiphop	3	12900403	54	22	1	hiphop/hiphop022.wav
1302.52803679908	12	interview	9	13025606	55	20	1	interview/interview020.wav
1315.0401239969	12	metal	5	13150730	56	15	1	metal/metal015.wav
1327.5621109472263	12	lecture	10	13275953	57	21	1	lecture/lecture021.wav
1340.0820979475511	12	classical	2	13401156	58	17	1	classical/classical017.wav
1352.6020849478764	12	news	11	13526359	59	21	1	news/news021.wav
1365.1140721481963	12	interview	9	13651482	60	38	1	interview/interview038.wav
1404.62408439789	12	lecture	10	14046592	61	5	1	lecture/lecture005.wav
1417.1400714982126	12	chn_aud	7	14171755	62	28	1	chn_aud/chn_aud028.wav
1429.66405839854	12	metal	5	14296998	63	33	1	metal/metal033.wav
1442.184145396365	12	hiphop	3	14422202	64	5	1	hiphop/hiphop005.wav
