onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger
21.559161020974475	60	click	0	215597	0	0	1
81.72115697107573	60	click	0	817232	1	1	1
141.91115222119447	60	click	0	1419147	2	2	1
202.08714782130446	60	click	0	2020922	3	3	1
262.27724306892327	60	click	0	2622838	4	4	1
322.47923801904955	60	click	0	3224873	5	5	1
382.715232119197	60	click	0	3827248	6	6	1
442.87332816679583	60	click	0	4428844	7	7	1
503.04732381690457	60	click	0	5030599	8	8	1
563.2173195670108	60	click	0	5632314	9	9	1
658.2813429664259	12	chn_aud	7	6582978	10	35	1
670.7993300167495	12	eng_aud	8	6708161	11	4	1
683.3134171645709	12	acoustic	1	6833305	12	0	1
695.8314042148946	12	classical	2	6958488	13	2	1
708.3493912652184	12	news	11	7083671	14	25	1
720.8633784155396	12	talk	12	7208814	15	18	1
733.3793655158621	12	interview	9	7333977	16	21	1
753.9453513662158	12	lecture	10	7539642	17	1	1
766.4614384640385	12	metal	5	7664806	18	3	1
778.9754256143597	12	hiphop	3	7789949	19	16	1
791.4954126146846	12	jazz	4	7915152	20	36	1
804.0093997650059	12	pop	6	8040295	21	20	1
816.5233869153271	12	classical	2	8165438	22	18	1
829.0353741156471	12	interview	9	8290561	23	22	1
844.1113972150696	12	pop	6	8441325	24	35	1
856.6273843153921	12	jazz	4	8566488	25	6	1
869.1434714132147	12	chn_aud	7	8691652	26	23	1
881.6574585635359	12	eng_aud	8	8816795	27	22	1
894.1714457138571	12	news	11	8941938	28	35	1
926.8774280642984	12	acoustic	1	9269006	29	27	1
939.3974150646234	12	metal	5	9394209	30	10	1
951.9175020624484	12	hiphop	3	9519413	31	10	1
964.4314892127696	12	talk	12	9644556	32	26	1
976.9514762130947	12	lecture	10	9769759	33	23	1
989.4674633134172	12	news	11	9894922	34	17	1
1001.9874503137421	12	classical	2	10020125	35	6	1
1017.9594510137247	12	lecture	10	10179849	36	30	1
1030.4714382140446	12	metal	5	10304972	37	17	1
1042.9895252618685	12	hiphop	3	10430156	38	4	1
1055.5075123121921	12	jazz	4	10555339	39	19	1
1068.0234994125146	12	eng_aud	8	10680502	40	14	1
1085.1594710132247	12	acoustic	1	10851866	41	23	1
1097.6754581135472	12	talk	12	10977029	42	33	1
1110.187545311367	12	interview	9	11102153	43	37	1
1122.705532361691	12	chn_aud	7	11227336	44	36	1
1135.2195195120123	12	pop	6	11352479	45	9	1
1147.7355066123348	12	pop	6	11477642	46	27	1
1163.0555236119096	12	jazz	4	11630846	47	22	1
1175.5735106622335	12	eng_aud	8	11756029	48	0	1
1188.089497762556	12	talk	12	11881192	49	23	1
1200.6054848628785	12	classical	2	12006355	50	39	1
1213.1255718607035	12	acoustic	1	12131559	51	7	1
1225.6475588110297	12	chn_aud	7	12256782	52	25	1
1238.1635459113522	12	news	11	12381945	53	29	1
1252.6515837104073	12	hiphop	3	12526829	54	22	1
1265.1715707107323	12	interview	9	12652032	55	20	1
1277.6875578110548	12	metal	5	12777195	56	15	1
1290.2075448113796	12	lecture	10	12902398	57	21	1
1302.7235319117021	12	classical	2	13027561	58	17	1
1315.2395190120246	12	news	11	13152724	59	21	1
1327.7576060598485	12	interview	9	13277908	60	38	1
