onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
15.995000124996874	60	click	0	159954	0	0	1	click/click000.wav
76.13369665758356	60	click	0	761356	1	1	1	click/click001.wav
136.37899052523687	60	click	0	1363824	2	2	1	click/click002.wav
196.5176870578236	60	click	0	1965226	3	3	1	click/click003.wav
256.74178145546364	60	click	0	2567482	4	4	1	click/click004.wav
316.9443763905902	60	click	0	3169523	5	5	1	click/click005.wav
377.1044723881903	60	click	0	3771139	6	6	1	click/click006.wav
437.2430689232769	60	click	0	4372540	7	7	1	click/click007.wav
497.3817654558636	60	click	0	4973942	8	8	1	click/click008.wav
557.5418614534636	60	click	0	5575558	9	9	1	click/click009.wav
628.347191320217	12	chn_aud	7	6283629	10	35	1	chn_aud/chn_aud035.wav
640.8484787880303	12	eng_aud	8	6408645	11	4	1	eng_aud/eng_aud004.wav
653.371165720857	12	acoustic	1	6533875	12	0	1	acoustic/acoustic000.wav
665.8938526536837	12	classical	2	6659105	13	2	1	classical/classical002.wav
678.4165395865103	12	news	11	6784335	14	25	1	news/news025.wav
690.9178270543237	12	talk	12	6909351	15	18	1	talk/talk018.wav
703.4405139871503	12	interview	9	7034581	16	21	1	interview/interview021.wav
722.2778430539237	12	lecture	10	7222959	17	1	1	lecture/lecture001.wav
734.8005299867503	12	metal	5	7348189	18	3	1	metal/metal003.wav
747.323216919577	12	hiphop	3	7473419	19	16	1	hiphop/hiphop016.wav
759.8459038524037	12	jazz	4	7598649	20	36	1	jazz/jazz036.wav
772.3684907877303	12	pop	6	7723878	21	20	1	pop/pop020.wav
784.8698782530437	12	classical	2	7848895	22	18	1	classical/classical018.wav
797.3925651858704	12	interview	9	7974125	23	22	1	interview/interview022.wav
814.8645283867903	12	pop	6	8148849	24	35	1	pop/pop035.wav
827.387215319617	12	jazz	4	8274079	25	6	1	jazz/jazz006.wav
839.8885027874303	12	chn_aud	7	8399095	26	23	1	chn_aud/chn_aud023.wav
852.3898902527437	12	eng_aud	8	8524112	27	22	1	eng_aud/eng_aud022.wav
864.9125771855704	12	news	11	8649342	28	35	1	news/news035.wav
884.7738806529836	12	acoustic	1	8847960	29	27	1	acoustic/acoustic027.wav
897.2965675858104	12	metal	5	8973190	30	10	1	metal/metal010.wav
909.7978550536236	12	hiphop	3	9098206	31	10	1	hiphop/hiphop010.wav
922.3205419864504	12	talk	12	9223436	32	26	1	talk/talk026.wav
934.8219294517636	12	lecture	10	9348453	33	23	1	lecture/lecture023.wav
947.3446163845904	12	news	11	9473683	34	17	1	news/news017.wav
959.867203319917	12	classical	2	9598912	35	6	1	classical/classical006.wav
978.5765355866104	12	lecture	10	9786010	36	30	1	lecture/lecture030.wav
991.099222519437	12	metal	5	9911240	37	17	1	metal/metal017.wav
1003.6006099847503	12	hiphop	3	10036257	38	4	1	hiphop/hiphop004.wav
1016.123296917577	12	jazz	4	10161487	39	19	1	jazz/jazz019.wav
1028.6458838529036	12	eng_aud	8	10286716	40	14	1	eng_aud/eng_aud014.wav
1044.7738806529835	12	acoustic	1	10448000	41	23	1	acoustic/acoustic023.wav
1057.2965675858104	12	talk	12	10573230	42	33	1	talk/talk033.wav
1069.819254518637	12	interview	9	10698460	43	37	1	interview/interview037.wav
1082.3206419839505	12	chn_aud	7	10823477	44	36	1	chn_aud/chn_aud036.wav
1094.843228919277	12	pop	6	10948706	45	9	1	pop/pop009.wav
1107.3659158521036	12	pop	6	11073936	46	27	1	pop/pop027.wav
1123.451313717157	12	jazz	4	11234794	47	22	1	jazz/jazz022.wav
1135.9739006524835	12	eng_aud	8	11360023	48	0	1	eng_aud/eng_aud000.wav
1148.4752881177972	12	talk	12	11485040	49	23	1	talk/talk023.wav
1160.9979750506238	12	classical	2	11610270	50	39	1	classical/classical039.wav
1173.5206619834505	12	acoustic	1	11735500	51	7	1	acoustic/acoustic007.wav
1186.0219494512637	12	chn_aud	7	11860516	52	25	1	chn_aud/chn_aud025.wav
1198.5446363840904	12	news	11	11985746	53	29	1	news/news029.wav
1214.267343316417	12	hiphop	3	12142977	54	22	1	hiphop/hiphop022.wav
1226.7899302517435	12	interview	9	12268206	55	20	1	interview/interview020.wav
1239.2913177170572	12	metal	5	12393223	56	15	1	metal/metal015.wav
1251.8140046498838	12	lecture	10	12518453	57	21	1	lecture/lecture021.wav
1264.3366915827105	12	classical	2	12643683	58	17	1	classical/classical017.wav
1276.8379790505237	12	news	11	12768699	59	21	1	news/news021.wav
1289.3606659833504	12	interview	9	12893929	60	38	1	interview/interview038.wav
1306.619334516637	12	lecture	10	13066520	61	5	1	lecture/lecture005.wav
1319.1420214494638	12	chn_aud	7	13191750	62	28	1	chn_aud/chn_aud028.wav
1331.6433089172772	12	metal	5	13316766	63	33	1	metal/metal033.wav
1344.165995850104	12	hiphop	3	13441996	64	5	1	hiphop/hiphop005.wav
1356.6886827829303	12	acoustic	1	13567226	65	30	1	acoustic/acoustic030.wav
1373.4779630509238	12	talk	12	13735123	66	3	1	talk/talk003.wav
1386.0006499837505	12	jazz	4	13860353	67	32	1	jazz/jazz032.wav
1398.5020374490637	12	pop	6	13985370	68	33	1	pop/pop033.wav
1411.0247243818906	12	eng_aud	8	14110600	69	6	1	eng_aud/eng_aud006.wav
1423.547311317217	12	classical	2	14235829	70	16	1	classical/classical016.wav
1436.0486987825304	12	chn_aud	7	14360846	71	26	1	chn_aud/chn_aud026.wav
1448.571385715357	12	talk	12	14486076	72	31	1	talk/talk031.wav
1466.0006499837505	12	lecture	10	14660373	73	34	1	lecture/lecture034.wav
1478.5233369165771	12	news	11	14785603	74	20	1	news/news020.wav
1491.0460238494038	12	eng_aud	8	14910833	75	29	1	eng_aud/eng_aud029.wav
1503.5687107822305	12	interview	9	15036063	76	8	1	interview/interview008.wav
1516.0913977150572	12	acoustic	1	15161293	77	16	1	acoustic/acoustic016.wav
1531.6860078498037	12	jazz	4	15317243	78	38	1	jazz/jazz038.wav
1544.187395315117	12	pop	6	15442260	79	23	1	pop/pop023.wav
1556.7100822479438	12	hiphop	3	15567490	80	14	1	hiphop/hiphop014.wav
1569.2326691832704	12	metal	5	15692719	81	6	1	metal/metal006.wav
1581.7553561160971	12	eng_aud	8	15817949	82	19	1	eng_aud/eng_aud019.wav
1594.2567435814103	12	pop	6	15942966	83	34	1	pop/pop034.wav
1606.7794305142372	12	metal	5	16068196	84	39	1	metal/metal039.wav
1622.6087347816303	12	classical	2	16226493	85	25	1	classical/classical025.wav
1635.1314217144572	12	news	11	16351723	86	34	1	news/news034.wav
1647.6327091822704	12	acoustic	1	16476739	87	13	1	acoustic/acoustic013.wav
1660.1553961150971	12	chn_aud	7	16601969	88	27	1	chn_aud/chn_aud027.wav
1672.6780830479238	12	hiphop	3	16727199	89	35	1	hiphop/hiphop035.wav
1685.1793705157372	12	talk	12	16852215	90	34	1	talk/talk034.wav
1701.0727731806703	12	interview	9	17011153	91	28	1	interview/interview028.wav
1713.5740606484835	12	lecture	10	17136169	92	0	1	lecture/lecture000.wav
1726.0754481137972	12	jazz	4	17261186	93	25	1	jazz/jazz025.wav
1738.5980350491238	12	acoustic	1	17386415	94	3	1	acoustic/acoustic003.wav
1751.099422514437	12	jazz	4	17511432	95	2	1	jazz/jazz002.wav
1763.6221094472637	12	pop	6	17636662	96	15	1	pop/pop015.wav
1776.1233969150771	12	classical	2	17761678	97	33	1	classical/classical033.wav
1794.0434489137772	12	hiphop	3	17940883	98	6	1	hiphop/hiphop006.wav
1806.5447363815904	12	interview	9	18065899	99	30	1	interview/interview030.wav
1819.067423314417	12	talk	12	18191129	100	28	1	talk/talk028.wav
1831.5688107797305	12	chn_aud	7	18316146	101	39	1	chn_aud/chn_aud039.wav
1844.0913977150567	12	lecture	10	18441375	102	32	1	lecture/lecture032.wav
1856.614084647884	12	eng_aud	8	18566605	103	31	1	eng_aud/eng_aud031.wav
1871.590110247244	12	news	11	18716369	104	3	1	news/news003.wav
1884.1127971800704	12	metal	5	18841599	105	9	1	metal/metal009.wav
1896.614084647884	12	pop	6	18966615	106	7	1	pop/pop007.wav
1909.1367715807105	12	acoustic	1	19091845	107	17	1	acoustic/acoustic017.wav
1921.6594585135367	12	lecture	10	19217075	108	8	1	lecture/lecture008.wav
1934.182145446364	12	jazz	4	19342305	109	17	1	jazz/jazz017.wav
1946.683432914177	12	hiphop	3	19467321	110	28	1	hiphop/hiphop028.wav
1967.6114097147567	12	classical	2	19676606	111	29	1	classical/classical029.wav
1980.134096647584	12	interview	9	19801836	112	33	1	interview/interview033.wav
1992.635484112897	12	news	11	19926853	113	6	1	news/news006.wav
2005.158171045724	12	talk	12	20052083	114	20	1	talk/talk020.wav
2017.6807579810504	12	chn_aud	7	20177312	115	12	1	chn_aud/chn_aud012.wav
2030.203444913877	12	eng_aud	8	20302542	116	20	1	eng_aud/eng_aud020.wav
2044.902177445564	12	metal	5	20449533	117	38	1	metal/metal038.wav
2057.4034649133773	12	acoustic	1	20574549	118	12	1	acoustic/acoustic012.wav
2069.926151846204	12	jazz	4	20699779	119	24	1	jazz/jazz024.wav
2082.4488387790307	12	pop	6	20825009	120	1	1	pop/pop001.wav
2094.9715257118573	12	lecture	10	20950239	121	24	1	lecture/lecture024.wav
2107.4728131796705	12	eng_aud	8	21075255	122	26	1	eng_aud/eng_aud026.wav
2119.995500112497	12	hiphop	3	21200485	123	29	1	hiphop/hiphop029.wav
2204.1767955801106	12	chn_aud	7	22042319	124	31	1	chn_aud/chn_aud031.wav
2216.6994825129373	12	metal	5	22167549	125	35	1	metal/metal035.wav
2229.222169445764	12	interview	9	22292779	126	27	1	interview/interview027.wav
2241.723556911077	12	talk	12	22417796	127	21	1	talk/talk021.wav
2254.246143846404	12	news	11	22543025	128	13	1	news/news013.wav
2269.734156646084	12	classical	2	22697909	129	15	1	classical/classical015.wav
2282.2355441113973	12	interview	9	22822926	130	19	1	interview/interview019.wav
2294.758231044224	12	lecture	10	22948156	131	27	1	lecture/lecture027.wav
2307.28081797955	12	metal	5	23073385	132	2	1	metal/metal002.wav
2319.782205444864	12	hiphop	3	23198402	133	15	1	hiphop/hiphop015.wav
