onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger
17.5801604959876	60	click	0	175806	0	0	1
77.80425489362766	60	click	0	778062	1	1	1
138.07094822629435	60	click	0	1380744	2	2	1
198.31624209394766	60	click	0	1983212	3	3	1
258.51893702657435	60	click	0	2585254	4	4	1
318.657633559161	60	click	0	3186656	5	5	1
378.83892902677434	60	click	0	3788484	6	6	1
439.041623959401	60	click	0	4390526	7	7	1
499.265618359541	60	click	0	4992781	8	8	1
559.5323116922077	60	click	0	5595463	9	9	1
634.6043348916277	12	chn_aud	7	6346202	10	35	1
647.1910202244944	12	eng_aud	8	6472072	11	4	1
659.713607159821	12	acoustic	1	6597301	12	0	1
672.2362940926477	12	classical	2	6722531	13	2	1
684.7589810254743	12	news	11	6847761	14	25	1
697.281667958301	12	talk	12	6972991	15	18	1
709.7829554261143	12	interview	9	7098007	16	21	1
735.5110122246944	12	lecture	10	7355294	17	1	1
748.0549986250344	12	metal	5	7480737	18	3	1
760.6202844928877	12	hiphop	3	7606393	19	16	1
773.1643708907277	12	jazz	4	7731837	20	36	1
785.7296567585811	12	pop	6	7857493	21	20	1
798.2523436914078	12	classical	2	7982723	22	18	1
810.7963300917477	12	interview	9	8108166	23	22	1
828.5029874253144	12	pop	6	8285237	24	35	1
841.0043748906278	12	jazz	4	8410254	25	6	1
853.5483612909677	12	chn_aud	7	8535697	26	23	1
866.0710482237944	12	eng_aud	8	8660927	27	22	1
878.5723356916077	12	news	11	8785943	28	35	1
896.4923876903077	12	acoustic	1	8965148	29	27	1
909.0149746256344	12	metal	5	9090377	30	10	1
921.5590610234744	12	hiphop	3	9215821	31	10	1
934.1030474238144	12	talk	12	9341264	32	26	1
946.625734356641	12	lecture	10	9466494	33	23	1
959.1697207569811	12	news	11	9591937	34	17	1
971.6923076923077	12	classical	2	9717166	35	6	1
987.5430114247143	12	lecture	10	9875677	36	30	1
1000.065698357541	12	metal	5	10000907	37	17	1
1012.5883852903678	12	hiphop	3	10126137	38	4	1
1025.1110722231945	12	jazz	4	10251367	39	19	1
1037.6550586235344	12	eng_aud	8	10376810	40	14	1
1054.3377415564612	12	acoustic	1	10543641	41	23	1
1066.8603284917876	12	talk	12	10668870	42	33	1
1079.3830154246143	12	interview	9	10794100	43	37	1
1091.9270018249545	12	chn_aud	7	10919543	44	36	1
1104.4709882252944	12	pop	6	11044986	45	9	1
1116.993675158121	12	pop	6	11170216	46	27	1
1131.777705557361	12	jazz	4	11318060	47	22	1
1144.3003924901877	12	eng_aud	8	11443290	48	0	1
1156.8016799580012	12	talk	12	11568306	49	23	1
1169.3243668908278	12	classical	2	11693536	50	39	1
1181.8470538236545	12	acoustic	1	11818766	51	7	1
1194.3483412914677	12	chn_aud	7	11943782	52	25	1
1206.8710282242944	12	news	11	12069012	53	29	1
1221.3350666233343	12	hiphop	3	12213656	54	22	1
1233.857753556161	12	interview	9	12338886	55	20	1
1246.3590410239744	12	metal	5	12463902	56	15	1
1258.9244268893278	12	lecture	10	12589559	57	21	1
1271.4470138246543	12	classical	2	12714788	58	17	1
1283.9911002224944	12	news	11	12840232	59	21	1
1296.513687157821	12	interview	9	12965461	60	38	1
1311.2124196895077	12	lecture	10	13112452	61	5	1
1323.713707157321	12	chn_aud	7	13237468	62	28	1
1336.2363940901478	12	metal	5	13362698	63	33	1
1348.7803804904877	12	hiphop	3	13488141	64	5	1
1361.3243668908278	12	acoustic	1	13613584	65	30	1
1376.769680757981	12	talk	12	13768041	66	3	1
1389.3350666233343	12	jazz	4	13893698	67	32	1
1401.857753556161	12	pop	6	14018928	68	33	1
1414.3804404889877	12	eng_aud	8	14144158	69	6	1
1426.9030274243144	12	classical	2	14269387	70	16	1
1439.425714357141	12	chn_aud	7	14394617	71	26	1
1451.9484012899677	12	talk	12	14519847	72	31	1
1466.9670258243543	12	lecture	10	14670037	73	34	1
1479.5324116897077	12	news	11	14795694	74	20	1
1492.0550986225344	12	eng_aud	8	14920924	75	29	1
1504.577785555361	12	interview	9	15046154	76	8	1
1517.1003724906877	12	acoustic	1	15171383	77	16	1
1531.777705557361	12	jazz	4	15318160	78	38	1
1544.3003924901877	12	pop	6	15443390	79	23	1
1556.8443788905277	12	hiphop	3	15568833	80	14	1
1569.3670658233543	12	metal	5	15694063	81	6	1
1581.8684532886678	12	eng_aud	8	15819080	82	19	1
1594.3910402239944	12	pop	6	15944309	83	34	1
1606.913727156821	12	metal	5	16069539	84	39	1
1621.8044548886278	12	classical	2	16218450	85	25	1
1634.3270418239545	12	news	11	16343679	86	34	1
1646.8711282217944	12	acoustic	1	16469123	87	13	1
1659.4364140896478	12	chn_aud	7	16594779	88	27	1
1671.9591010224744	12	hiphop	3	16720009	89	35	1
1684.4817879553011	12	talk	12	16845239	90	34	1
1699.8631034224145	12	interview	9	16999056	91	28	1
1712.3643908902277	12	lecture	10	17124072	92	0	1
