onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger
6.301542461438464	60	click	0	63017	0	0	1
66.53753656158597	60	click	0	665392	1	1	1
126.72963175920601	60	click	0	1267328	2	2	1
186.91162720931976	60	click	0	1869163	3	3	1
247.06772330691732	60	click	0	2470739	4	4	1
307.27171820704484	60	click	0	3072794	5	5	1
367.4557136071598	60	click	0	3674649	6	6	1
427.64180895477614	60	click	0	4276525	7	7	1
487.8818029549261	60	click	0	4878940	8	8	1
548.0857978550537	60	click	0	5480995	9	9	1
619.6598085047874	12	chn_aud	7	6196753	10	35	1
632.1718957026075	12	eng_aud	8	6321877	11	4	1
644.6858828529287	12	acoustic	1	6447020	12	0	1
657.1998700032499	12	classical	2	6572163	13	2	1
669.7138571535712	12	news	11	6697306	14	25	1
682.2358441038974	12	talk	12	6822529	15	18	1
694.7558311042224	12	interview	9	6947732	16	21	1
717.8658533536661	12	lecture	10	7178838	17	1	1
730.3879403014924	12	metal	5	7304062	18	3	1
742.9079273018175	12	hiphop	3	7429265	19	16	1
755.4299142521437	12	jazz	4	7554488	20	36	1
767.9499012524686	12	pop	6	7679691	21	20	1
780.471888202795	12	classical	2	7804914	22	18	1
792.9918752031199	12	interview	9	7930117	23	22	1
809.6439589010274	12	pop	6	8096642	24	35	1
822.1639459013525	12	jazz	4	8221845	25	6	1
834.6859328516787	12	chn_aud	7	8347068	26	23	1
847.207919802005	12	eng_aud	8	8472291	27	22	1
859.7259068523286	12	news	11	8597474	28	35	1
877.5539611509712	12	acoustic	1	8775759	29	27	1
890.0659483512912	12	metal	5	8900882	30	10	1
902.5879353016174	12	hiphop	3	9026105	31	10	1
915.1079223019425	12	talk	12	9151308	32	26	1
927.6300092497687	12	lecture	10	9276532	33	23	1
940.1419964500888	12	news	11	9401655	34	17	1
952.6599835004125	12	classical	2	9526838	35	6	1
969.7639559011025	12	lecture	10	9697882	36	30	1
982.2839429014275	12	metal	5	9823085	37	17	1
994.7960300992476	12	hiphop	3	9948209	38	4	1
1007.3100172495688	12	jazz	4	10073352	39	19	1
1019.8280042998925	12	eng_aud	8	10198535	40	14	1
1038.73603159921	12	acoustic	1	10387620	41	23	1
1051.2580185495362	12	talk	12	10512843	42	33	1
1063.7700057498562	12	interview	9	10637966	43	37	1
1076.2859928501787	12	chn_aud	7	10763129	44	36	1
1088.7879803004926	12	pop	6	10888152	45	9	1
1101.2939676508088	12	pop	6	11013215	46	27	1
1196.6100847478813	12	jazz	4	11966400	47	22	1
1209.1220719482012	12	eng_aud	8	12091523	48	0	1
1221.6340591485214	12	talk	12	12216646	49	23	1
1234.1480462988425	12	classical	2	12341789	50	39	1
1246.6700332491687	12	acoustic	1	12467012	51	7	1
1259.1860203494912	12	chn_aud	7	12592175	52	25	1
1271.7081072973176	12	news	11	12717399	53	29	1
1290.008049798755	12	hiphop	3	12900403	54	22	1
1302.52803679908	12	interview	9	13025606	55	20	1
1315.0401239969	12	metal	5	13150730	56	15	1
1327.5621109472263	12	lecture	10	13275953	57	21	1
1340.0820979475513	12	classical	2	13401156	58	17	1
1352.6020849478764	12	news	11	13526359	59	21	1
1365.1140721481963	12	interview	9	13651482	60	38	1
1404.62408439789	12	lecture	10	14046592	61	5	1
1417.1400714982126	12	chn_aud	7	14171755	62	28	1
1429.66405839854	12	metal	5	14296998	63	33	1
1442.184145396365	12	hiphop	3	14422202	64	5	1
1454.7061323466912	12	acoustic	1	14547425	65	30	1
1471.3281167970802	12	talk	12	14713649	66	3	1
1483.848103797405	12	jazz	4	14838852	67	32	1
1496.3700907477314	12	pop	6	14964075	68	33	1
1508.8900777480562	12	eng_aud	8	15089278	69	6	1
1521.4101647458813	12	classical	2	15214482	70	16	1
1533.9241518962026	12	chn_aud	7	15339625	71	26	1
1546.4361390965225	12	talk	12	15464748	72	31	1
1586.8821279468013	12	lecture	10	15869218	73	34	1
1599.3981150471238	12	news	11	15994381	74	20	1
1611.9181020474489	12	eng_aud	8	16119584	75	29	1
