onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger
9.45726356841079	60	click	0	94575	0	0	1
69.63865903352416	60	click	0	696404	1	1	1
129.77735556611086	60	click	0	1297806	2	2	1
190.00134996625084	60	click	0	1900061	3	3	1
250.20404489887753	60	click	0	2502103	4	4	1
310.40673983150424	60	click	0	3104145	5	5	1
370.6094347641309	60	click	0	3706187	6	6	1
430.8121296967576	60	click	0	4308229	7	7	1
491.0574235644109	60	click	0	4910697	8	8	1
551.2601184970375	60	click	0	5512739	9	9	1
623.6442088947776	12	chn_aud	7	6236598	10	35	1
636.145496362591	12	eng_aud	8	6361614	11	4	1
648.6468838279043	12	acoustic	1	6486631	12	0	1
661.169470763231	12	classical	2	6611860	13	2	1
673.6921576960576	12	news	11	6737090	14	25	1
686.1935451613709	12	talk	12	6862107	15	18	1
698.7162320941976	12	interview	9	6987337	16	21	1
714.6522336941576	12	lecture	10	7146701	17	1	1
727.1749206269843	12	metal	5	7271931	18	3	1
739.697507562311	12	hiphop	3	7397160	19	16	1
752.2201944951377	12	jazz	4	7522390	20	36	1
764.721581960451	12	pop	6	7647407	21	20	1
777.2442688932776	12	classical	2	7772637	22	18	1
789.7668558286043	12	interview	9	7897866	23	22	1
805.5108622284442	12	pop	6	8055310	24	35	1
818.0122496937577	12	jazz	4	8180327	25	6	1
830.5349366265843	12	chn_aud	7	8305557	26	23	1
843.0362240943977	12	eng_aud	8	8430573	27	22	1
855.5589110272243	12	news	11	8555803	28	35	1
871.0469238269043	12	acoustic	1	8710687	29	27	1
883.5482112947176	12	metal	5	8835703	30	10	1
896.0708982275443	12	hiphop	3	8960933	31	10	1
908.5935851603709	12	talk	12	9086163	32	26	1
921.1162720931977	12	lecture	10	9211393	33	23	1
933.6389590260244	12	news	11	9336623	34	17	1
946.1402464938377	12	classical	2	9461639	35	6	1
961.6069598260043	12	lecture	10	9616310	36	30	1
974.129646758831	12	metal	5	9741540	37	17	1
986.6523336916578	12	hiphop	3	9866770	38	4	1
999.153621159471	12	jazz	4	9991786	39	19	1
1011.6763080922977	12	eng_aud	8	10117016	40	14	1
1027.7403064923376	12	acoustic	1	10277660	41	23	1
1040.241593960151	12	talk	12	10402676	42	33	1
1052.7642808929777	12	interview	9	10527906	43	37	1
1065.2869678258044	12	chn_aud	7	10653136	44	36	1
1077.809654758631	12	pop	6	10778366	45	9	1
1090.3109422264442	12	pop	6	10903382	46	27	1
1107.3563160920976	12	jazz	4	11073840	47	22	1
1119.8790030249245	12	eng_aud	8	11199070	48	0	1
1132.3802904927377	12	talk	12	11324086	49	23	1
1144.9029774255644	12	classical	2	11449316	50	39	1
1157.4043648908778	12	acoustic	1	11574333	51	7	1
1169.9270518237045	12	chn_aud	7	11699563	52	25	1
1182.4496387590311	12	news	11	11824792	53	29	1
1198.6203344916378	12	hiphop	3	11986503	54	22	1
1211.1430214244645	12	interview	9	12111733	55	20	1
1223.6444088897777	12	metal	5	12236750	56	15	1
1236.1669958251043	12	lecture	10	12361979	57	21	1
1248.689682757931	12	classical	2	12487209	58	17	1
1261.2123696907577	12	news	11	12612439	59	21	1
1273.7350566235843	12	interview	9	12737669	60	38	1
1289.0950726231845	12	lecture	10	12891273	61	5	1
1301.6177595560112	12	chn_aud	7	13016503	62	28	1
1314.1403464913378	12	metal	5	13141732	63	33	1
1326.641733956651	12	hiphop	3	13266749	64	5	1
1339.1644208894777	12	acoustic	1	13391979	65	30	1
1354.3110422239445	12	talk	12	13543449	66	3	1
1366.8337291567711	12	jazz	4	13668679	67	32	1
1379.3564160895978	12	pop	6	13793909	68	33	1
1391.857703557411	12	eng_aud	8	13918925	69	6	1
1404.3803904902377	12	classical	2	14044155	70	16	1
1416.9030774230644	12	chn_aud	7	14169385	71	26	1
1429.4044648883778	12	talk	12	14294402	72	31	1
1444.593785155371	12	lecture	10	14446299	73	34	1
1457.1164720881977	12	news	11	14571529	74	20	1
1469.6390590235244	12	eng_aud	8	14696758	75	29	1
1482.1404464888378	12	interview	9	14821775	76	8	1
1494.6631334216645	12	acoustic	1	14947005	77	16	1
1509.9804504887377	12	jazz	4	15100182	78	38	1
1522.5031374215644	12	pop	6	15225412	79	23	1
1535.0044248893778	12	hiphop	3	15350428	80	14	1
1547.5271118222045	12	metal	5	15475658	81	6	1
1560.028499287518	12	eng_aud	8	15600675	82	19	1
1572.5510862228443	12	pop	6	15725904	83	34	1
1585.073773155671	12	metal	5	15851134	84	39	1
1600.3697907552312	12	classical	2	16004098	85	25	1
1612.8924776880579	12	news	11	16129328	86	34	1
1625.4151646208845	12	acoustic	1	16254558	87	13	1
1637.9164520886977	12	chn_aud	7	16379574	88	27	1
1650.4391390215244	12	hiphop	3	16504804	89	35	1
1662.961825954351	12	talk	12	16630034	90	34	1
1677.8098547536313	12	interview	9	16778518	91	28	1
1690.332541686458	12	lecture	10	16903748	92	0	1
1702.8338291542711	12	jazz	4	17028764	93	25	1
