onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
27.93630159246019	12	chn_aud	7	279370	0	35	1	/stimuli/chn_aud/chn_aud035.wav
40.45628859278518	12	eng_aud	8	404573	1	4	1	/stimuli/eng_aud/eng_aud004.wav
52.97637559061023	12	acoustic	1	529777	2	0	1	/stimuli/acoustic/acoustic000.wav
65.49636259093522	12	classical	2	654980	3	2	1	/stimuli/classical/classical002.wav
78.01434964125897	12	news	11	780163	4	25	1	/stimuli/news/news025.wav
90.52833679158022	12	talk	12	905306	5	18	1	/stimuli/talk/talk018.wav
103.04632384190396	12	interview	9	1030489	6	21	1	/stimuli/interview/interview021.wav
120.422389440264	12	lecture	10	1204254	7	1	1	/stimuli/lecture/lecture001.wav
132.93637659058524	12	metal	5	1329397	8	3	1	/stimuli/metal/metal003.wav
145.45636359091023	12	hiphop	3	1454600	9	16	1	/stimuli/hiphop/hiphop016.wav
157.97235069123272	12	jazz	4	1579763	10	36	1	/stimuli/jazz/jazz036.wav
170.48633784155396	12	pop	6	1704906	11	20	1	/stimuli/pop/pop020.wav
183.00632484187892	12	classical	2	1830109	12	18	1	/stimuli/classical/classical018.wav
195.52041198970025	12	interview	9	1955253	13	22	1	/stimuli/interview/interview022.wav
211.7864053398665	12	pop	6	2117917	14	35	1	/stimuli/pop/pop035.wav
224.30039249018773	12	jazz	4	2243060	15	6	1	/stimuli/jazz/jazz006.wav
236.81237969050773	12	chn_aud	7	2368183	16	23	1	/stimuli/chn_aud/chn_aud023.wav
249.32836679083024	12	eng_aud	8	2493346	17	22	1	/stimuli/eng_aud/eng_aud022.wav
261.8423539411515	12	news	11	2618489	18	35	1	/stimuli/news/news035.wav
277.958351041224	12	acoustic	1	2779653	19	27	1	/stimuli/acoustic/acoustic027.wav
290.47243818904525	12	metal	5	2904797	20	10	1	/stimuli/metal/metal010.wav
302.990425239369	12	hiphop	3	3029980	21	10	1	/stimuli/hiphop/hiphop010.wav
315.50441238969023	12	talk	12	3155123	22	26	1	/stimuli/talk/talk026.wav
328.022399440014	12	lecture	10	3280306	23	23	1	/stimuli/lecture/lecture023.wav
340.53638659033527	12	news	11	3405449	24	17	1	/stimuli/news/news017.wav
353.05637359066026	12	classical	2	3530652	25	6	1	/stimuli/classical/classical006.wav
368.726381840454	12	lecture	10	3687356	26	30	1	/stimuli/lecture/lecture030.wav
381.2384690382741	12	metal	5	3812480	27	17	1	/stimuli/metal/metal017.wav
393.7504562385941	12	hiphop	3	3937603	28	4	1	/stimuli/hiphop/hiphop004.wav
406.26844328891775	12	jazz	4	4062786	29	19	1	/stimuli/jazz/jazz019.wav
418.7924301892453	12	eng_aud	8	4188029	30	14	1	/stimuli/eng_aud/eng_aud014.wav
434.4324391890203	12	acoustic	1	4344433	31	23	1	/stimuli/acoustic/acoustic023.wav
446.9464263393416	12	talk	12	4469576	32	33	1	/stimuli/talk/talk033.wav
459.4604134896628	12	interview	9	4594719	33	37	1	/stimuli/interview/interview037.wav
471.974400639984	12	chn_aud	7	4719862	34	36	1	/stimuli/chn_aud/chn_aud036.wav
484.4964875878103	12	pop	6	4845086	35	9	1	/stimuli/pop/pop009.wav
497.01447463813406	12	pop	6	4970269	36	27	1	/stimuli/pop/pop027.wav
512.4084897877553	12	jazz	4	5124213	37	22	1	/stimuli/jazz/jazz022.wav
524.926476838079	12	eng_aud	8	5249396	38	0	1	/stimuli/eng_aud/eng_aud000.wav
537.4424639384015	12	talk	12	5374559	39	23	1	/stimuli/talk/talk023.wav
549.9624509387265	12	classical	2	5499762	40	39	1	/stimuli/classical/classical039.wav
