onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
19.15192120196995	60	click	0	191524	0	0	1	/stimuli/click/click000.wav
79.35461613459664	60	click	0	793566	1	1	1	/stimuli/click/click001.wav
139.51461213469662	60	click	0	1395181	2	2	1	/stimuli/click/click002.wav
199.67460813479664	60	click	0	1996796	3	3	1	/stimuli/click/click003.wav
259.8773030674233	60	click	0	2598838	4	4	1	/stimuli/click/click004.wav
320.07999800005	60	click	0	3200880	5	5	1	/stimuli/click/click005.wav
380.2826929326767	60	click	0	3802922	6	6	1	/stimuli/click/click006.wav
440.4853878653034	60	click	0	4404964	7	7	1	/stimuli/click/click007.wav
500.68808279793006	60	click	0	5007006	8	8	1	/stimuli/click/click008.wav
560.8907777305567	60	click	0	5609048	9	9	1	/stimuli/click/click009.wav
806.5014374640634	12	chn_aud	7	8065216	10	35	1	/stimuli/chn_aud/chn_aud035.wav
819.0241243968901	12	eng_aud	8	8190446	11	4	1	/stimuli/eng_aud/eng_aud004.wav
831.5255118622034	12	acoustic	1	8315463	12	0	1	/stimuli/acoustic/acoustic000.wav
844.0481987950301	12	classical	2	8440693	13	2	1	/stimuli/classical/classical002.wav
856.5707857303568	12	news	11	8565922	14	25	1	/stimuli/news/news025.wav
869.0934726631834	12	talk	12	8691152	15	18	1	/stimuli/talk/talk018.wav
881.6161595960101	12	interview	9	8816382	16	21	1	/stimuli/interview/interview021.wav
901.58416039599	12	lecture	10	9016067	17	1	1	/stimuli/lecture/lecture001.wav
914.1068473288168	12	metal	5	9141297	18	3	1	/stimuli/metal/metal003.wav
926.6295342616436	12	hiphop	3	9266527	19	16	1	/stimuli/hiphop/hiphop016.wav
939.1308217294568	12	jazz	4	9391543	20	36	1	/stimuli/jazz/jazz036.wav
951.6535086622836	12	pop	6	9516773	21	20	1	/stimuli/pop/pop020.wav
964.17619559511	12	classical	2	9642003	22	18	1	/stimuli/classical/classical018.wav
976.6988825279368	12	interview	9	9767233	23	22	1	/stimuli/interview/interview022.wav
994.9175270618234	12	pop	6	9949424	24	35	1	/stimuli/pop/pop035.wav
1007.4188145296368	12	jazz	4	10074440	25	6	1	/stimuli/jazz/jazz006.wav
1019.9415014624634	12	chn_aud	7	10199670	26	23	1	/stimuli/chn_aud/chn_aud023.wav
1032.4641883952902	12	eng_aud	8	10324900	27	22	1	/stimuli/eng_aud/eng_aud022.wav
1044.9868753281169	12	news	11	10450130	28	35	1	/stimuli/news/news035.wav
1063.9095022624435	12	acoustic	1	10639361	29	27	1	/stimuli/acoustic/acoustic027.wav
