onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger
14.70363240918977	60	click	0	147040	0	0	1
74.86372840678983	60	click	0	748656	1	1	1
134.99972500687483	60	click	0	1350031	2	2	1
195.19372015699608	60	click	0	1951986	3	3	1
255.36971575710606	60	click	0	2553761	4	4	1
315.53381165470864	60	click	0	3155417	5	5	1
375.74180645483864	60	click	0	3757512	6	6	1
435.8958026049349	60	click	0	4359067	7	7	1
496.08589785255367	60	click	0	4960983	8	8	1
556.2338941526461	60	click	0	5562478	9	9	1
626.03194920127	12	chn_aud	7	6260476	10	35	1
638.5439364015899	12	eng_aud	8	6385599	11	4	1
651.0619234519137	12	acoustic	1	6510782	12	0	1
663.5799105022375	12	classical	2	6635965	13	2	1
676.0918977025574	12	news	11	6761088	14	25	1
688.6118847028824	12	talk	12	6886291	15	18	1
701.1259718507038	12	interview	9	7011435	16	21	1
718.263943401415	12	lecture	10	7182819	17	1	1
730.78393040174	12	metal	5	7308022	18	3	1
743.3039174020649	12	hiphop	3	7433225	19	16	1
755.8259043523911	12	jazz	4	7558448	20	36	1
768.343991400215	12	pop	6	7683632	21	20	1
780.86397840054	12	classical	2	7808835	22	18	1
793.3779655508612	12	interview	9	7933978	23	22	1
809.1259718507038	12	pop	6	8091462	24	35	1
821.639959001025	12	jazz	4	8216605	25	6	1
834.1559461013475	12	chn_aud	7	8341768	26	23	1
846.6679333016674	12	eng_aud	8	8466891	27	22	1
859.1860203494913	12	news	11	8592075	28	35	1
875.0680232994175	12	acoustic	1	8750899	29	27	1
887.5900102497437	12	metal	5	8876122	30	10	1
900.1019974500638	12	hiphop	3	9001245	31	10	1
912.615984600385	12	talk	12	9126388	32	26	1
925.1279718007049	12	lecture	10	9251511	33	23	1
937.6419589510263	12	news	11	9376654	34	17	1
950.1620459488513	12	classical	2	9501858	35	6	1
965.7960550986226	12	lecture	10	9658202	36	30	1
978.3020424489388	12	metal	5	9783265	37	17	1
990.8040298992526	12	hiphop	3	9908288	38	4	1
1003.3160170995725	12	jazz	4	10033411	39	19	1
1015.8340041498963	12	eng_aud	8	10158594	40	14	1
1031.90400239994	12	acoustic	1	10319298	41	23	1
1044.4219894502637	12	talk	12	10444481	42	33	1
1056.936076598085	12	interview	9	10569625	43	37	1
1069.45606359841	12	chn_aud	7	10694828	44	36	1
1081.9760505987351	12	pop	6	10820031	45	9	1
1094.488037799055	12	pop	6	10945154	46	27	1
1111.34401639959	12	jazz	4	11113718	47	22	1
1123.864103397415	12	eng_aud	8	11238922	48	0	1
1136.3800904977375	12	talk	12	11364085	49	23	1
1148.8980775480613	12	classical	2	11489268	50	39	1
1161.4180645483864	12	acoustic	1	11614471	51	7	1
1173.9380515487112	12	chn_aud	7	11739674	52	25	1
1186.4520386990325	12	news	11	11864817	53	29	1
1209.9800504987375	12	hiphop	3	12100103	54	22	1
1222.5001374965625	12	interview	9	12225307	55	20	1
1235.0141246468838	12	metal	5	12350450	56	15	1
1247.5341116472089	12	lecture	10	12475653	57	21	1
1260.04809879753	12	classical	2	12600796	58	17	1
1272.5620859478513	12	news	11	12725939	59	21	1
1285.0820729481763	12	interview	9	12851142	60	38	1
1303.7941051473713	12	lecture	10	13038267	61	5	1
1316.3100922476938	12	chn_aud	7	13163430	62	28	1
1328.824079398015	12	metal	5	13288573	63	33	1
1341.3381665458364	12	hiphop	3	13413717	64	5	1
1353.8521536961575	12	acoustic	1	13538860	65	30	1
1370.6181345466364	12	talk	12	13706524	66	3	1
1383.1341216469589	12	jazz	4	13831687	67	32	1
1395.6501087472814	12	pop	6	13956850	68	33	1
1408.1700957476064	12	eng_aud	8	14082053	69	6	1
1420.686182845429	12	classical	2	14207217	70	16	1
1433.20016999575	12	chn_aud	7	14332360	71	26	1
1445.7241568960776	12	talk	12	14457603	72	31	1
1460.60818479538	12	lecture	10	14606447	73	34	1
1473.1261718457038	12	news	11	14731630	74	20	1
1485.6461588460288	12	eng_aud	8	14856833	75	29	1
1498.1621459463513	12	interview	9	14981996	76	8	1
1510.6821329466763	12	acoustic	1	15107199	77	16	1
1525.6341591460214	12	jazz	4	15256723	78	38	1
1538.1541461463464	12	pop	6	15381926	79	23	1
1550.6742331441715	12	hiphop	3	15507130	80	14	1
1563.1942201444963	12	metal	5	15632333	81	6	1
1575.7082072948176	12	eng_aud	8	15757476	82	19	1
1588.2261943451413	12	pop	6	15882659	83	34	1
1600.7401814954626	12	metal	5	16007802	84	39	1
1615.4762130946726	12	classical	2	16155166	85	25	1
1627.9982000449988	12	news	11	16280389	86	34	1
1640.5141871453213	12	acoustic	1	16405552	87	13	1
1653.0321741956452	12	chn_aud	7	16530735	88	27	1
1665.5522611934703	12	hiphop	3	16655939	89	35	1
1678.0662483437914	12	talk	12	16781082	90	34	1
1694.1862453438664	12	interview	9	16942286	91	28	1
1706.702232444189	12	lecture	10	17067449	92	0	1
1719.2202194945125	12	jazz	4	17192632	93	25	1
1731.736206594835	12	acoustic	1	17317795	94	3	1
1744.254193645159	12	jazz	4	17442978	95	2	1
1756.774280642984	12	pop	6	17568182	96	15	1
1769.2902677433065	12	classical	2	17693345	97	33	1
1784.4962875928102	12	hiphop	3	17845409	98	6	1
1797.00827479313	12	interview	9	17970532	99	30	1
1809.5222619434514	12	talk	12	18095675	100	28	1
1822.0342491437714	12	chn_aud	7	18220798	101	39	1
1834.5482362940927	12	lecture	10	18345941	102	32	1
1847.0662233444164	12	eng_aud	8	18471124	103	31	1
1862.424239394015	12	news	11	18624708	104	3	1
1874.942226444339	12	metal	5	18749891	105	9	1
1887.4523136921578	12	pop	6	18874995	106	7	1
1899.9543011424714	12	acoustic	1	19000018	107	17	1
1912.4662883427914	12	lecture	10	19125141	108	8	1
1924.9842753931152	12	jazz	4	19250324	109	17	1
1937.4982625434363	12	hiphop	3	19375467	110	28	1
1953.0502737431564	12	classical	2	19530991	111	29	1
1965.5662608434789	12	interview	9	19656154	112	33	1
1978.086247843804	12	news	11	19781357	113	6	1
1990.6023349416264	12	talk	12	19906521	114	20	1
2003.1143221419466	12	chn_aud	7	20031644	115	12	1
2015.6363090922728	12	eng_aud	8	20156867	116	20	1
2031.1163220919477	12	metal	5	20311671	117	38	1
2043.6283092922677	12	acoustic	1	20436794	118	12	1
2056.1482962925925	12	jazz	4	20561997	119	24	1
2068.6602834929126	12	pop	6	20687120	120	1	1
2081.1802704932375	12	lecture	10	20812323	121	24	1
2093.694357641059	12	eng_aud	8	20937467	122	26	1
2106.2103447413815	12	hiphop	3	21062630	123	29	1
2126.2903427414317	12	chn_aud	7	21263435	124	31	1
2138.8023299417514	12	metal	5	21388558	125	35	1
2151.318317042074	12	interview	9	21513721	126	27	1
2163.838304042399	12	talk	12	21638924	127	21	1
2176.3602909927254	12	news	11	21764147	128	13	1
2287.118322041949	12	classical	2	22871755	129	15	1
2299.6364090897728	12	interview	9	22996939	130	19	1
2312.148396290093	12	lecture	10	23122062	131	27	1
2324.6683832904178	12	metal	5	23247265	132	2	1
2337.182370440739	12	hiphop	3	23372408	133	15	1
2353.56836079098	12	chn_aud	7	23536272	134	0	1
2366.086347841304	12	classical	2	23661455	135	14	1
2378.6023349416264	12	eng_aud	8	23786618	136	11	1
2391.118422039449	12	pop	6	23911782	137	2	1
2403.6364090897728	12	talk	12	24036965	138	29	1
2416.1563960900976	12	jazz	4	24162168	139	23	1
2428.678383040424	12	acoustic	1	24287391	140	39	1
2445.3563660908476	12	news	11	24454175	141	19	1
2457.8683532911678	12	hiphop	3	24579298	142	32	1
2470.3844403889902	12	metal	5	24704462	143	11	1
2482.8964275893104	12	pop	6	24829585	144	11	1
2495.412414689633	12	chn_aud	7	24954748	145	4	1
2507.9324016899577	12	acoustic	1	25079951	146	10	1
2520.4503887402816	12	interview	9	25205134	147	25	1
2581.844453888653	12	classical	2	25819090	148	27	1
2594.3644408889777	12	news	11	25944293	149	8	1
2606.878428039299	12	eng_aud	8	26069436	150	24	1
2619.390415239619	12	lecture	10	26194559	151	26	1
2631.912402189945	12	jazz	4	26319782	152	27	1
2644.430489237769	12	talk	12	26444966	153	6	1
2676.884477888053	12	hiphop	3	26769514	154	27	1
2689.404464888378	12	chn_aud	7	26894717	155	34	1
2701.9244518887026	12	metal	5	27019920	156	4	1
2714.4364390890228	12	interview	9	27145043	157	26	1
2726.9464263393415	12	news	11	27270146	158	22	1
2739.4664133396664	12	pop	6	27395349	159	14	1
2751.9865003374916	12	classical	2	27520553	160	32	1
2767.4965125871854	12	lecture	10	27675657	161	29	1
2780.0024999375014	12	jazz	4	27800720	162	29	1
2792.5044873878155	12	eng_aud	8	27925743	163	38	1
2805.0264743381417	12	talk	12	28050966	164	17	1
2817.5464613384665	12	acoustic	1	28176169	165	22	1
2830.062448438789	12	jazz	4	28301332	166	1	1
2842.582435439114	12	eng_aud	8	28426535	167	27	1
2860.116497087573	12	pop	6	28601880	168	4	1
2872.6344841378964	12	interview	9	28727063	169	23	1
2885.150471238219	12	acoustic	1	28852226	170	11	1
2897.672458188545	12	talk	12	28977449	171	39	1
2910.190445238869	12	chn_aud	7	29102632	172	29	1
2922.702532436689	12	news	11	29227756	173	15	1
2937.548461288468	12	lecture	10	29376219	174	39	1
2950.070548236294	12	hiphop	3	29501443	175	26	1
2962.5865353366166	12	classical	2	29626606	176	9	1
2975.1045223869405	12	metal	5	29751789	177	16	1
2987.6265093372667	12	jazz	4	29877012	178	26	1
3000.142496437589	12	pop	6	30002175	179	28	1
3019.054523636909	12	metal	5	30191300	180	28	1
3031.572510687233	12	eng_aud	8	30316483	181	32	1
3044.084497887553	12	classical	2	30441606	182	35	1
3056.6004849878755	12	interview	9	30566769	183	34	1
3069.118572035699	12	acoustic	1	30691953	184	14	1
3084.142496437589	12	hiphop	3	30842196	185	18	1
3096.6604834879126	12	news	11	30967379	186	26	1
3109.176570585735	12	lecture	10	31092543	187	20	1
3121.6885577860553	12	talk	12	31217666	188	35	1
3134.2025449363764	12	chn_aud	7	31342809	189	3	1
3146.718532036699	12	chn_aud	7	31467972	190	5	1
3159.2325191870204	12	hiphop	3	31593115	191	24	1
3232.1625959351018	12	talk	12	32322434	192	30	1
3244.676583085423	12	lecture	10	32447577	193	10	1
3257.1965700857477	12	news	11	32572780	194	27	1
3269.708557286068	12	classical	2	32697903	195	19	1
3282.230544236394	12	jazz	4	32823126	196	14	1
3297.4565635859103	12	eng_aud	8	32975390	197	28	1
3309.9685507862305	12	interview	9	33100513	198	7	1
3322.486537836554	12	pop	6	33225696	199	17	1
3334.998525036874	12	metal	5	33350819	200	30	1
3347.5186120346993	12	acoustic	1	33476023	201	33	1
3360.0325991850204	12	eng_aud	8	33601166	202	30	1
3375.204619884503	12	jazz	4	33752890	203	31	1
3387.724606884828	12	metal	5	33878093	204	27	1
3400.2405939851506	12	acoustic	1	34003256	205	25	1
3412.7605809854754	12	talk	12	34128459	206	25	1
3425.2805679858	12	lecture	10	34253662	207	22	1
3437.798555036124	12	news	11	34378845	208	12	1
3450.318542036449	12	interview	9	34504048	209	11	1
3467.252618684533	12	classical	2	34673393	210	24	1
3479.7686057848555	12	pop	6	34798556	211	18	1
3492.286592835179	12	chn_aud	7	34923739	212	24	1
3504.804579885503	12	hiphop	3	35048922	213	34	1
3517.3205669858253	12	interview	9	35174085	214	2	1
3529.838554036149	12	lecture	10	35299268	215	36	1
3546.012649683758	12	hiphop	3	35461013	216	9	1
3558.524636884078	12	chn_aud	7	35586136	217	13	1
3571.0366240843978	12	eng_aud	8	35711259	218	13	1
3583.5546111347217	12	acoustic	1	35836442	219	36	1
3596.0685982850428	12	pop	6	35961585	220	31	1
3608.5865853353666	12	jazz	4	36086768	221	4	1
3621.1005724856877	12	classical	2	36211911	222	4	1
3636.4425889352765	12	news	11	36365335	223	39	1
3648.9625759356018	12	metal	5	36490538	224	23	1
3661.484662883428	12	talk	12	36615762	225	7	1
3673.990650233744	12	news	11	36740825	226	11	1
3686.5046373840655	12	acoustic	1	36865968	227	4	1
3702.1606459838504	12	classical	2	37022532	228	26	1
3714.680632984175	12	metal	5	37147735	229	36	1
3727.1966200844977	12	talk	12	37272898	230	4	1
3739.7146071348216	12	eng_aud	8	37398081	231	21	1
3752.230594235144	12	hiphop	3	37523244	232	20	1
