name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
Fp1	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
Fz	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
F3	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
F7	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
FT9	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
FC5	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
FC1	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
C3	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
T7	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
TP9	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
CP5	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
CP1	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
Pz	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
P3	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
P7	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
O1	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
Oz	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
O2	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
P4	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
P8	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
TP10	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
CP6	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
CP2	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
Cz	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
C4	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
T8	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
FT10	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
FC6	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
FC2	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
F4	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
F8	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
Fp2	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
EP1	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
EP2	EEG	µV	0.0	5000.0	ElectroEncephaloGram	10000.0	good
