onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
31.161820954476138	60	click	0	311626	0	0	1	/stimuli/click/click000.wav
91.34311642208944	60	click	0	913454	1	1	1	/stimuli/click/click001.wav
151.5245118872028	60	click	0	1515283	2	2	1	/stimuli/click/click002.wav
211.7059073523162	60	click	0	2117112	3	3	1	/stimuli/click/click003.wav
271.9086022849429	60	click	0	2719154	4	4	1	/stimuli/click/click004.wav
332.08989775255617	60	click	0	3320982	5	5	1	/stimuli/click/click005.wav
392.2712932176696	60	click	0	3922811	6	6	1	/stimuli/click/click006.wav
452.4526886827829	60	click	0	4524640	7	7	1	/stimuli/click/click007.wav
512.6339841503963	60	click	0	5126468	8	8	1	/stimuli/click/click008.wav
572.8153796155096	60	click	0	5728297	9	9	1	/stimuli/click/click009.wav
728.676783080423	12	chn_aud	7	7286950	10	35	1	/stimuli/chn_aud/chn_aud035.wav
741.1781705457364	12	eng_aud	8	7411967	11	4	1	/stimuli/eng_aud/eng_aud004.wav
753.700757481063	12	acoustic	1	7537196	12	0	1	/stimuli/acoustic/acoustic000.wav
766.2021449463764	12	classical	2	7662213	13	2	1	/stimuli/classical/classical002.wav
778.7034324141896	12	news	11	7787229	14	25	1	/stimuli/news/news025.wav
791.204819879503	12	talk	12	7912246	15	18	1	/stimuli/talk/talk018.wav
803.7275068123297	12	interview	9	8037476	16	21	1	/stimuli/interview/interview021.wav
821.6474588135296	12	lecture	10	8216680	17	1	1	/stimuli/lecture/lecture001.wav
834.148846278843	12	metal	5	8341697	18	3	1	/stimuli/metal/metal003.wav
846.6501337466564	12	hiphop	3	8466713	19	16	1	/stimuli/hiphop/hiphop016.wav
859.172820679483	12	jazz	4	8591943	20	36	1	/stimuli/jazz/jazz036.wav
871.6742081447964	12	pop	6	8716960	21	20	1	/stimuli/pop/pop020.wav
884.1754956126097	12	classical	2	8841976	22	18	1	/stimuli/classical/classical018.wav
896.6981825454363	12	interview	9	8967206	23	22	1	/stimuli/interview/interview022.wav
916.4101897452564	12	pop	6	9164331	24	35	1	/stimuli/pop/pop035.wav
928.9115772105696	12	jazz	4	9289348	25	6	1	/stimuli/jazz/jazz006.wav
941.4341641458964	12	chn_aud	7	9414577	26	23	1	/stimuli/chn_aud/chn_aud023.wav
953.9355516112096	12	eng_aud	8	9539594	27	22	1	/stimuli/eng_aud/eng_aud022.wav
966.436839079023	12	news	11	9664610	28	35	1	/stimuli/news/news035.wav
990.9062273443164	12	acoustic	1	9909310	29	27	1	/stimuli/acoustic/acoustic027.wav
1003.4076148096298	12	metal	5	10034327	30	10	1	/stimuli/metal/metal010.wav
1015.9089022774432	12	hiphop	3	10159343	31	10	1	/stimuli/hiphop/hiphop010.wav
1028.4102897427565	12	talk	12	10284360	32	26	1	/stimuli/talk/talk026.wav
1040.932876678083	12	lecture	10	10409589	33	23	1	/stimuli/lecture/lecture023.wav
1053.4342641433964	12	news	11	10534606	34	17	1	/stimuli/news/news017.wav
1065.9355516112098	12	classical	2	10659622	35	6	1	/stimuli/classical/classical006.wav
1087.8663033424164	12	lecture	10	10878935	36	30	1	/stimuli/lecture/lecture030.wav
1100.3675908102298	12	metal	5	11003951	37	17	1	/stimuli/metal/metal017.wav
1112.8689782755432	12	hiphop	3	11128968	38	4	1	/stimuli/hiphop/hiphop004.wav
1125.3915652108697	12	jazz	4	11254197	39	19	1	/stimuli/jazz/jazz019.wav
1137.892952676183	12	eng_aud	8	11379214	40	14	1	/stimuli/eng_aud/eng_aud014.wav
1157.6902577435565	12	acoustic	1	11577192	41	23	1	/stimuli/acoustic/acoustic023.wav
1170.19164520887	12	talk	12	11702209	42	33	1	/stimuli/talk/talk033.wav
1182.692932676683	12	interview	9	11827225	43	37	1	/stimuli/interview/interview037.wav
1195.1943201419965	12	chn_aud	7	11952242	44	36	1	/stimuli/chn_aud/chn_aud036.wav
