onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
23.452913677158072	60	click	0	234535	0	0	1	click/click000.wav
83.67500812479688	60	click	0	836771	1	1	1	click/click001.wav
143.93900152496187	60	click	0	1439426	2	2	1	click/click002.wav
204.1409964750881	60	click	0	2041461	3	3	1	click/click003.wav
264.28899277518065	60	click	0	2642956	4	4	1	click/click004.wav
324.4629884252894	60	click	0	3244711	5	5	1	click/click005.wav
384.63908402289945	60	click	0	3846487	6	6	1	click/click006.wav
444.8070798230044	60	click	0	4448182	7	7	1	click/click007.wav
505.0190745231369	60	click	0	5050317	8	8	1	click/click008.wav
565.2250693732657	60	click	0	5652392	9	9	1	click/click009.wav
639.6091097722557	12	chn_aud	7	6396251	10	35	1	chn_aud/chn_aud035.wav
652.1470963225919	12	eng_aud	8	6521634	11	4	1	eng_aud/eng_aud004.wav
664.6790830229244	12	acoustic	1	6646957	12	0	1	acoustic/acoustic000.wav
677.2390690232744	12	classical	2	6772560	13	2	1	classical/classical002.wav
689.7431564210895	12	news	11	6897604	14	25	1	news/news025.wav
702.2551436214095	12	talk	12	7022727	15	18	1	talk/talk018.wav
714.779130521737	12	interview	9	7147970	16	21	1	interview/interview021.wav
732.9990750231244	12	lecture	10	7330174	17	1	1	lecture/lecture001.wav
745.5171620709482	12	metal	5	7455358	18	3	1	metal/metal003.wav
758.0671483212919	12	hiphop	3	7580861	19	16	1	hiphop/hiphop016.wav
770.579135521612	12	jazz	4	7705984	20	36	1	jazz/jazz036.wav
783.0991225219369	12	pop	6	7831187	21	20	1	pop/pop020.wav
795.619109522262	12	classical	2	7956390	22	18	1	classical/classical018.wav
808.1750956226094	12	interview	9	8081953	23	22	1	interview/interview022.wav
825.6971575710608	12	pop	6	8257178	24	35	1	pop/pop035.wav
838.2131446713832	12	jazz	4	8382341	25	6	1	jazz/jazz006.wav
850.7351316217095	12	chn_aud	7	8507564	26	23	1	chn_aud/chn_aud023.wav
863.2731181720457	12	eng_aud	8	8632947	27	22	1	eng_aud/eng_aud022.wav
875.8131046723832	12	news	11	8758350	28	35	1	news/news035.wav
