onset	duration	trial_type	value	sample	trial	number_trial	EEG_trigger	stim_file
22.3942401439964	60	click	0	223948	0	0	1	click/click000.wav
82.5542361440964	60	click	0	825563	1	1	1	click/click001.wav
142.71433214169645	60	click	0	1427179	2	2	1	click/click002.wav
202.89562760930977	60	click	0	2029007	3	3	1	click/click003.wav
263.07702307442315	60	click	0	2630836	4	4	1	click/click004.wav
323.2370190745231	60	click	0	3232451	5	5	1	click/click005.wav
383.4183145421365	60	click	0	3834279	6	6	1	click/click006.wav
443.5784105397365	60	click	0	4435895	7	7	1	click/click007.wav
503.7384065398365	60	click	0	5037510	8	8	1	click/click008.wav
563.9197020074498	60	click	0	5639338	9	9	1	click/click009.wav
642.9384265393365	12	chn_aud	7	6429545	10	35	1	chn_aud/chn_aud035.wav
655.4611134721632	12	eng_aud	8	6554775	11	4	1	eng_aud/eng_aud004.wav
667.9624009399765	12	acoustic	1	6679791	12	0	1	acoustic/acoustic000.wav
680.4637884052898	12	classical	2	6804808	13	2	1	classical/classical002.wav
692.9864753381165	12	news	11	6930038	14	25	1	news/news025.wav
705.4877628059298	12	talk	12	7055054	15	18	1	talk/talk018.wav
717.9891502712433	12	interview	9	7180071	16	21	1	interview/interview021.wav
735.7384065398365	12	lecture	10	7357568	17	1	1	lecture/lecture001.wav
748.2397940051499	12	metal	5	7482585	18	3	1	metal/metal003.wav
760.7410814729632	12	hiphop	3	7607601	19	16	1	hiphop/hiphop016.wav
773.2424689382765	12	jazz	4	7732618	20	36	1	jazz/jazz036.wav
785.7651558711033	12	pop	6	7857848	21	20	1	pop/pop020.wav
798.2664433389165	12	classical	2	7982864	22	18	1	classical/classical018.wav
810.7678308042299	12	interview	9	8107881	23	22	1	interview/interview022.wav
826.8744281392965	12	pop	6	8268951	24	35	1	pop/pop035.wav
839.3971150721231	12	jazz	4	8394181	25	6	1	jazz/jazz006.wav
851.8985025374366	12	chn_aud	7	8519198	26	23	1	chn_aud/chn_aud023.wav
864.3997900052499	12	eng_aud	8	8644214	27	22	1	eng_aud/eng_aud022.wav
876.9224769380766	12	news	11	8769444	28	35	1	news/news035.wav
894.4584385390365	12	acoustic	1	8944808	29	27	1	acoustic/acoustic027.wav
906.9811254718632	12	metal	5	9070038	30	10	1	metal/metal010.wav
919.4825129371766	12	hiphop	3	9195055	31	10	1	hiphop/hiphop010.wav
932.0051998700033	12	talk	12	9320285	32	26	1	talk/talk026.wav
944.5064873378166	12	lecture	10	9445301	33	23	1	lecture/lecture023.wav
957.00787480313	12	news	11	9570318	34	17	1	news/news017.wav
969.5091622709432	12	classical	2	9695334	35	6	1	classical/classical006.wav
984.7624809379764	12	lecture	10	9847871	36	30	1	lecture/lecture030.wav
997.26386840329	12	metal	5	9972888	37	17	1	metal/metal017.wav
1009.7651558711032	12	hiphop	3	10097904	38	4	1	hiphop/hiphop004.wav
1022.28784280393	12	jazz	4	10223134	39	19	1	jazz/jazz019.wav
1034.7892302692433	12	eng_aud	8	10348151	40	14	1	eng_aud/eng_aud014.wav
1053.58386040349	12	acoustic	1	10536102	41	23	1	acoustic/acoustic023.wav
1066.0851478713032	12	talk	12	10661118	42	33	1	talk/talk033.wav
1078.5865353366166	12	interview	9	10786135	43	37	1	interview/interview037.wav
1091.0878228044298	12	chn_aud	7	10911151	44	36	1	chn_aud/chn_aud036.wav
1103.6105097372565	12	pop	6	11036381	45	9	1	pop/pop009.wav
1116.11189720257	12	pop	6	11161398	46	27	1	pop/pop027.wav
1131.3865153371166	12	jazz	4	11314148	47	22	1	jazz/jazz022.wav
1143.9092022699433	12	eng_aud	8	11439378	48	0	1	eng_aud/eng_aud000.wav
1156.4105897352565	12	talk	12	11564395	49	23	1	talk/talk023.wav
1168.91187720307	12	classical	2	11689411	50	39	1	classical/classical039.wav
1181.4345641358966	12	acoustic	1	11814641	51	7	1	acoustic/acoustic007.wav
1193.9358516037098	12	chn_aud	7	11939657	52	25	1	chn_aud/chn_aud025.wav
1206.4372390690232	12	news	11	12064674	53	29	1	news/news029.wav
1221.4985625359366	12	hiphop	3	12215291	54	22	1	hiphop/hiphop022.wav
1233.99995000125	12	interview	9	12340308	55	20	1	interview/interview020.wav
1246.5012374690632	12	metal	5	12465324	56	15	1	metal/metal015.wav
